Time resolution is 1 ps
UVM_INFO C:/Xilinx/Vivado/2024.2/data/system_verilog/uvm_1.2/xlnx_uvm_package.sv(18601) @ 0: reporter [UVM/RELNOTES] 
----------------------------------------------------------------
UVM-1.2
(C) 2007-2014 Mentor Graphics Corporation
(C) 2007-2014 Cadence Design Systems, Inc.
(C) 2006-2014 Synopsys, Inc.
(C) 2011-2013 Cypress Semiconductor Corp.
(C) 2013-2014 NVIDIA Corporation
----------------------------------------------------------------

  ***********       IMPORTANT RELEASE NOTES         ************

  You are using a version of the UVM library that has been compiled
  with `UVM_NO_DEPRECATED undefined.

  You are using a version of the UVM library that has been compiled
  with `UVM_OBJECT_DO_NOT_NEED_CONSTRUCTOR undefined.

      (Specify +UVM_NO_RELNOTES to turn off this notice)

UVM_WARNING @ 0: reporter [TPRGED] Type name 'fifo_base_test' already registered with factory. No string-based lookup support for multiple types with the same type name.
UVM_WARNING @ 0: reporter [TPRGED] Type name 'fifo_sequence' already registered with factory. No string-based lookup support for multiple types with the same type name.
UVM_INFO @ 0: reporter [RNTST] Running test fifo_random_test...
Time=765000 rst_n=1 wr_en=0 rd_en=0 wr_data=e388106e rd_data=f67c7b1a full=0 empty=0
Time=785000 rst_n=1 wr_en=0 rd_en=1 wr_data=e388106e rd_data=f67c7b1a full=0 empty=0
Time=795000 rst_n=1 wr_en=0 rd_en=0 wr_data=e388106e rd_data=a9dd5983 full=0 empty=0
Time=815000 rst_n=1 wr_en=1 rd_en=0 wr_data=f77c8ad5 rd_data=a9dd5983 full=0 empty=0
Time=825000 rst_n=1 wr_en=0 rd_en=0 wr_data=f77c8ad5 rd_data=a9dd5983 full=0 empty=0
Time=845000 rst_n=1 wr_en=1 rd_en=0 wr_data=fbfdb36b rd_data=a9dd5983 full=0 empty=0
Time=855000 rst_n=1 wr_en=0 rd_en=0 wr_data=fbfdb36b rd_data=a9dd5983 full=0 empty=0
Time=875000 rst_n=1 wr_en=1 rd_en=0 wr_data=278378e3 rd_data=a9dd5983 full=0 empty=0
Time=885000 rst_n=1 wr_en=0 rd_en=0 wr_data=278378e3 rd_data=a9dd5983 full=1 empty=0
Time=905000 rst_n=1 wr_en=0 rd_en=1 wr_data=278378e3 rd_data=a9dd5983 full=1 empty=0
Time=915000 rst_n=1 wr_en=0 rd_en=0 wr_data=278378e3 rd_data=fe14b40c full=0 empty=0
Time=935000 rst_n=1 wr_en=0 rd_en=1 wr_data=278378e3 rd_data=fe14b40c full=0 empty=0
Time=945000 rst_n=1 wr_en=0 rd_en=0 wr_data=278378e3 rd_data=f950ab62 full=0 empty=0
Time=965000 rst_n=1 wr_en=1 rd_en=0 wr_data=d4307646 rd_data=f950ab62 full=0 empty=0
Time=975000 rst_n=1 wr_en=0 rd_en=0 wr_data=d4307646 rd_data=f950ab62 full=0 empty=0
Time=995000 rst_n=1 wr_en=0 rd_en=1 wr_data=d4307646 rd_data=f950ab62 full=0 empty=0
Time=1005000 rst_n=1 wr_en=0 rd_en=0 wr_data=d4307646 rd_data=db913fab full=0 empty=0
Time=1025000 rst_n=1 wr_en=0 rd_en=1 wr_data=d4307646 rd_data=db913fab full=0 empty=0
Time=1035000 rst_n=1 wr_en=0 rd_en=0 wr_data=d4307646 rd_data=24d670da full=0 empty=0
Time=1055000 rst_n=1 wr_en=1 rd_en=0 wr_data=a006f7a2 rd_data=24d670da full=0 empty=0
Time=1065000 rst_n=1 wr_en=0 rd_en=0 wr_data=a006f7a2 rd_data=24d670da full=0 empty=0
Time=1085000 rst_n=1 wr_en=1 rd_en=0 wr_data=dcad0745 rd_data=24d670da full=0 empty=0
Time=1095000 rst_n=1 wr_en=0 rd_en=0 wr_data=dcad0745 rd_data=24d670da full=0 empty=0
Time=1115000 rst_n=1 wr_en=0 rd_en=1 wr_data=dcad0745 rd_data=24d670da full=0 empty=0
Time=1125000 rst_n=1 wr_en=0 rd_en=0 wr_data=dcad0745 rd_data=d5203ec7 full=0 empty=0
Time=1145000 rst_n=1 wr_en=0 rd_en=1 wr_data=dcad0745 rd_data=d5203ec7 full=0 empty=0
Time=1155000 rst_n=1 wr_en=0 rd_en=0 wr_data=dcad0745 rd_data=ec6ea9cd full=0 empty=0
Time=1175000 rst_n=1 wr_en=0 rd_en=1 wr_data=dcad0745 rd_data=ec6ea9cd full=0 empty=0
Time=1185000 rst_n=1 wr_en=0 rd_en=0 wr_data=dcad0745 rd_data=d019561e full=0 empty=0
Time=1205000 rst_n=1 wr_en=0 rd_en=1 wr_data=dcad0745 rd_data=d019561e full=0 empty=0
Time=1215000 rst_n=1 wr_en=0 rd_en=0 wr_data=dcad0745 rd_data=9c7597a4 full=0 empty=0
Time=1235000 rst_n=1 wr_en=0 rd_en=1 wr_data=dcad0745 rd_data=9c7597a4 full=0 empty=0
Time=1245000 rst_n=1 wr_en=0 rd_en=0 wr_data=dcad0745 rd_data=fd67620 full=0 empty=0
Time=1265000 rst_n=1 wr_en=0 rd_en=1 wr_data=dcad0745 rd_data=fd67620 full=0 empty=0
Time=1275000 rst_n=1 wr_en=0 rd_en=0 wr_data=dcad0745 rd_data=aba609a5 full=0 empty=0
Time=1295000 rst_n=1 wr_en=1 rd_en=0 wr_data=c9b89c8e rd_data=aba609a5 full=0 empty=0
Time=1305000 rst_n=1 wr_en=0 rd_en=0 wr_data=c9b89c8e rd_data=aba609a5 full=0 empty=0
Time=1325000 rst_n=1 wr_en=0 rd_en=1 wr_data=c9b89c8e rd_data=aba609a5 full=0 empty=0
Time=1335000 rst_n=1 wr_en=0 rd_en=0 wr_data=c9b89c8e rd_data=d414bea1 full=0 empty=0
Time=1355000 rst_n=1 wr_en=1 rd_en=0 wr_data=1a53268e rd_data=d414bea1 full=0 empty=0
Time=1365000 rst_n=1 wr_en=0 rd_en=0 wr_data=1a53268e rd_data=d414bea1 full=0 empty=0
Time=1385000 rst_n=1 wr_en=0 rd_en=1 wr_data=1a53268e rd_data=d414bea1 full=0 empty=0
Time=1395000 rst_n=1 wr_en=0 rd_en=0 wr_data=1a53268e rd_data=e388106e full=0 empty=0
Time=1415000 rst_n=1 wr_en=0 rd_en=1 wr_data=1a53268e rd_data=e388106e full=0 empty=0
Time=1425000 rst_n=1 wr_en=0 rd_en=0 wr_data=1a53268e rd_data=f77c8ad5 full=0 empty=0
Time=1445000 rst_n=1 wr_en=1 rd_en=0 wr_data=d7dd8e1f rd_data=f77c8ad5 full=0 empty=0
Time=1455000 rst_n=1 wr_en=0 rd_en=0 wr_data=d7dd8e1f rd_data=f77c8ad5 full=0 empty=0
Time=1475000 rst_n=1 wr_en=0 rd_en=1 wr_data=d7dd8e1f rd_data=f77c8ad5 full=0 empty=0
Time=1485000 rst_n=1 wr_en=0 rd_en=0 wr_data=d7dd8e1f rd_data=fbfdb36b full=0 empty=0
Time=1505000 rst_n=1 wr_en=1 rd_en=0 wr_data=2ea638dd rd_data=fbfdb36b full=0 empty=0
Time=1515000 rst_n=1 wr_en=0 rd_en=0 wr_data=2ea638dd rd_data=fbfdb36b full=0 empty=0
Time=1535000 rst_n=1 wr_en=0 rd_en=1 wr_data=2ea638dd rd_data=fbfdb36b full=0 empty=0
Time=1545000 rst_n=1 wr_en=0 rd_en=0 wr_data=2ea638dd rd_data=278378e3 full=0 empty=0
Time=1565000 rst_n=1 wr_en=0 rd_en=1 wr_data=2ea638dd rd_data=278378e3 full=0 empty=0
Time=1575000 rst_n=1 wr_en=0 rd_en=0 wr_data=2ea638dd rd_data=d4307646 full=0 empty=0
Time=1595000 rst_n=1 wr_en=0 rd_en=1 wr_data=2ea638dd rd_data=d4307646 full=0 empty=0
Time=1605000 rst_n=1 wr_en=0 rd_en=0 wr_data=2ea638dd rd_data=a006f7a2 full=0 empty=0
Time=1625000 rst_n=1 wr_en=1 rd_en=0 wr_data=306ee8c2 rd_data=a006f7a2 full=0 empty=0
Time=1635000 rst_n=1 wr_en=0 rd_en=0 wr_data=306ee8c2 rd_data=a006f7a2 full=0 empty=0
Time=1655000 rst_n=1 wr_en=1 rd_en=0 wr_data=126c9cf7 rd_data=a006f7a2 full=0 empty=0
Time=1665000 rst_n=1 wr_en=0 rd_en=0 wr_data=126c9cf7 rd_data=a006f7a2 full=0 empty=0
Time=1685000 rst_n=1 wr_en=0 rd_en=1 wr_data=126c9cf7 rd_data=a006f7a2 full=0 empty=0
Time=1695000 rst_n=1 wr_en=0 rd_en=0 wr_data=126c9cf7 rd_data=dcad0745 full=0 empty=0
Time=1715000 rst_n=1 wr_en=1 rd_en=0 wr_data=cb75dbff rd_data=dcad0745 full=0 empty=0
Time=1725000 rst_n=1 wr_en=0 rd_en=0 wr_data=cb75dbff rd_data=dcad0745 full=0 empty=0
Time=1745000 rst_n=1 wr_en=1 rd_en=0 wr_data=228166d9 rd_data=dcad0745 full=0 empty=0
Time=1755000 rst_n=1 wr_en=0 rd_en=0 wr_data=228166d9 rd_data=dcad0745 full=0 empty=0
Time=1775000 rst_n=1 wr_en=1 rd_en=0 wr_data=e0918e9a rd_data=dcad0745 full=0 empty=0
Time=1785000 rst_n=1 wr_en=0 rd_en=0 wr_data=e0918e9a rd_data=dcad0745 full=0 empty=0
Time=1805000 rst_n=1 wr_en=0 rd_en=1 wr_data=e0918e9a rd_data=dcad0745 full=0 empty=0
Time=1815000 rst_n=1 wr_en=0 rd_en=0 wr_data=e0918e9a rd_data=c9b89c8e full=0 empty=0
Time=1835000 rst_n=1 wr_en=0 rd_en=1 wr_data=e0918e9a rd_data=c9b89c8e full=0 empty=0
Time=1845000 rst_n=1 wr_en=0 rd_en=0 wr_data=e0918e9a rd_data=1a53268e full=0 empty=0
Time=1865000 rst_n=1 wr_en=1 rd_en=0 wr_data=4ddb2da rd_data=1a53268e full=0 empty=0
Time=1875000 rst_n=1 wr_en=0 rd_en=0 wr_data=4ddb2da rd_data=1a53268e full=0 empty=0
Time=1895000 rst_n=1 wr_en=0 rd_en=1 wr_data=4ddb2da rd_data=1a53268e full=0 empty=0
Time=1905000 rst_n=1 wr_en=0 rd_en=0 wr_data=4ddb2da rd_data=d7dd8e1f full=0 empty=0
Time=1925000 rst_n=1 wr_en=1 rd_en=0 wr_data=e027862c rd_data=d7dd8e1f full=0 empty=0
